Date;Rate
1/12/2022;0.0711687
2/12/2022;0.0712744
5/12/2022;0.0714432
6/12/2022;0.0715399
7/12/2022;0.0713724
8/12/2022;0.0713724
9/12/2022;0.0713724
12/12/2022;0.0716269
13/12/2022;0.066735
14/12/2022;0.068001
15/12/2022;0.0690456
16/12/2022;0.0700882
19/12/2022;0.0708338
20/12/2022;0.0706221
21/12/2022;0.070028
22/12/2022;0.0699475
23/12/2022;0.070113
26/12/2022;0.0698476
27/12/2022;0.0696059
28/12/2022;0.0686963
29/12/2022;0.0682732
30/12/2022;0.0685618
2/01/2023;0.0691195
3/01/2023;0.0693954
4/01/2023;0.0694771
5/01/2023;0.069555
6/01/2023;0.0682584
9/01/2023;0.0679169
10/01/2023;0.0681763
11/01/2023;0.068435
12/01/2023;0.0684643
13/01/2023;0.070258
16/01/2023;0.071107
17/01/2023;0.0716661
18/01/2023;0.0710248
19/01/2023;0.0716339
20/01/2023;0.0719279
23/01/2023;0.0716791
24/01/2023;0.072347
25/01/2023;0.0727159
26/01/2023;0.0724679
27/01/2023;0.0718315
30/01/2023;0.0727049
31/01/2023;0.0737166
1/02/2023;0.0726496
2/02/2023;0.0714519
3/02/2023;0.0715771
6/02/2023;0.0704349
7/02/2023;0.0706104
8/02/2023;0.071024
9/02/2023;0.0700007
10/02/2023;0.0692249
13/02/2023;0.0698582
14/02/2023;0.0709012
15/02/2023;0.0714722
16/02/2023;0.0717165
17/02/2023;0.070314
20/02/2023;0.0705361
21/02/2023;0.0713893
22/02/2023;0.0709046
23/02/2023;0.0714221
24/02/2023;0.0724223
27/02/2023;0.0728547
28/02/2023;0.0722239
1/03/2023;0.0715833
2/03/2023;0.0725283
3/03/2023;0.0727449
6/03/2023;0.0728259
7/03/2023;0.0728895
8/03/2023;0.072773
9/03/2023;0.0719275
10/03/2023;0.0704982
13/03/2023;0.0699557
14/03/2023;0.0702867
15/03/2023;0.0685276
16/03/2023;0.0680799
17/03/2023;0.0667782
20/03/2023;0.0661445
21/03/2023;0.0663523
22/03/2023;0.0667461
23/03/2023;0.0657442
24/03/2023;0.065382
27/03/2023;0.0659064
28/03/2023;0.0665072
29/03/2023;0.066083
30/03/2023;0.0664086
31/03/2023;0.0664547
3/04/2023;0.0669061
4/04/2023;0.0671216
5/04/2023;0.0668207
6/04/2023;0.0668207
7/04/2023;0.0668207
10/04/2023;0.0672707
11/04/2023;0.0674076
12/04/2023;0.0672794
13/04/2023;0.0666344
14/04/2023;0.0661624
17/04/2023;0.0670549
18/04/2023;0.0662251
19/04/2023;0.0662192
20/04/2023;0.0659524
21/04/2023;0.0660322
24/04/2023;0.0658408
25/04/2023;0.06598
26/04/2023;0.0656206
27/04/2023;0.0654348
28/04/2023;0.0653804
1/05/2023;0.0653804
2/05/2023;0.0655253
3/05/2023;0.0652059
4/05/2023;0.0652196
5/05/2023;0.064982
8/05/2023;0.064521
9/05/2023;0.0632662
10/05/2023;0.0625542
11/05/2023;0.0625002
12/05/2023;0.0625124
15/05/2023;0.0618985
16/05/2023;0.0627909
17/05/2023;0.0631246
18/05/2023;0.0637602
19/05/2023;0.064181
22/05/2023;0.0648059
23/05/2023;0.0640525
24/05/2023;0.063649
25/05/2023;0.0635722
26/05/2023;0.0634541
29/05/2023;0.0632358
30/05/2023;0.0632823
31/05/2023;0.0586392
1/06/2023;0.0588184
2/06/2023;0.0611351
5/06/2023;0.062247
6/06/2023;0.062126
7/06/2023;0.0625664
8/06/2023;0.0620684
9/06/2023;0.0618166
12/06/2023;0.0613274
13/06/2023;0.0610726
14/06/2023;0.0603588
15/06/2023;0.0608446
16/06/2023;0.0616799
19/06/2023;0.060863
20/06/2023;0.0611339
21/06/2023;0.0613684
22/06/2023;0.0618537
23/06/2023;0.0617581
26/06/2023;0.0610873
27/06/2023;0.0608613
28/06/2023;0.0607702
29/06/2023;0.0607702
30/06/2023;0.0606933
3/07/2023;0.0596723
4/07/2023;0.05831
5/07/2023;0.0586153
6/07/2023;0.0601275
7/07/2023;0.0593419
10/07/2023;0.0587291
11/07/2023;0.0606358
12/07/2023;0.0601965
13/07/2023;0.0595901
14/07/2023;0.0607566
17/07/2023;0.0615196
18/07/2023;0.0618941
19/07/2023;0.0619654
20/07/2023;0.0614328
21/07/2023;0.0623456
24/07/2023;0.0619946
25/07/2023;0.0613679
26/07/2023;0.0611536
27/07/2023;0.0615687
28/07/2023;0.0615687
31/07/2023;0.0608753
1/08/2023;0.0614613
2/08/2023;0.0619911
3/08/2023;0.0624274
4/08/2023;0.0624714
7/08/2023;0.0628639
8/08/2023;0.0624064
9/08/2023;0.0625885
10/08/2023;0.06172
11/08/2023;0.0602994
14/08/2023;0.0600423
