Date,USDPEN=X,Close
2022-12-01,3.8299999237060547,
2023-01-01,3.8010001182556152,
2023-02-01,3.8350000381469727,
2023-03-01,3.7899999618530273,
2023-04-01,3.760499954223633,
2023-05-01,3.6032519340515137,
2023-06-01,3.6670000553131104,
2023-07-01,3.5369620323181152,
2023-08-01,3.5999999046325684,
2023-09-01,3.624330997467041,
2023-10-01,3.722382068634033,
2023-11-01,3.818000078201294,
2023-12-01,3.6566851139068604,
2024-01-01,3.627424955368042,
2024-02-01,3.8010001182556152,
2024-03-01,3.794600009918213,
2024-04-01,3.6399569511413574,
2024-05-01,3.752000093460083,
2024-06-01,3.6746950149536133,
2024-07-01,3.756424903869629,
2024-08-01,3.7320001125335693,
2024-09-01,3.683734893798828,
2024-10-01,3.7160000801086426,
2024-11-01,3.7709999084472656,
2024-12-01,3.662839889526367,
2025-01-01,3.6690499782562256,
2025-02-01,3.700342893600464,
2025-03-01,3.604219913482666,
2025-04-01,3.6710000038146973,
2025-05-01,3.6570000648498535,
2025-06-01,3.543868064880371,
2025-07-01,3.5409998893737793,
2025-08-01,3.568000078201294,
2025-09-01,,3.6018010219718595
2025-10-01,,3.549676553192767
2025-11-01,,3.6141942922792287
2025-12-01,,3.686049803149922
2026-01-01,,3.5418051569466367
2026-02-01,,3.5418065046581226
2026-03-01,,3.6906617815221052
2026-04-01,,3.6240240850159813
2026-05-01,,3.5224879933150643
2026-06-01,,3.6055644452442115
2026-07-01,,3.5229851785494426
2026-08-01,,3.5227953848044877
2026-09-01,,3.580888806126831
2026-10-01,,3.4039680452595515
2026-11-01,,3.419430444977722
2026-12-01,,3.514869095762433
2027-01-01,,3.4778846198437834
2027-02-01,,3.5868225829061777
2027-03-01,,3.4864880795347575
2027-04-01,,3.4450924897497104
2027-05-01,,3.681339472140265
2027-06-01,,3.542492818932079
2027-07-01,,3.5665697642552368
2027-08-01,,3.4440709398699765
2027-09-01,,3.516338875450636
2027-10-01,,3.5701319469598083
2027-11-01,,3.4665430622940985
2027-12-01,,3.5918669813889186
2028-01-01,,3.511720904096674
2028-02-01,,3.5370817502481646
2028-03-01,,3.5116332398889036
2028-04-01,,3.7130773252424025
2028-05-01,,3.559918503194956
2028-06-01,,3.4742005008506216
2028-07-01,,3.6285480007357687
2028-08-01,,3.460809170219806
2028-09-01,,3.578171783333878
2028-10-01,,3.400159966740911
2028-11-01,,3.451997586953144
2028-12-01,,3.5771865269209715
2029-01-01,,3.621646131281642
2029-02-01,,3.5750938469071722
2029-03-01,,3.551533069673278
2029-04-01,,3.536309301320762
2029-05-01,,3.439656725565074
2029-06-01,,3.5019354943947127
2029-07-01,,3.523213296250752
2029-08-01,,3.6478041153415024
2029-09-01,,3.5892336025552343
2029-10-01,,3.416301038280412
2029-11-01,,3.5876300582848635
2029-12-01,,3.5294156199775655
2030-01-01,,3.505458916773402
2030-02-01,,3.611238098490535
2030-03-01,,3.6456597401337074
2030-04-01,,3.637473917616579
2030-05-01,,3.492136310531354
2030-06-01,,3.535643671411009
2030-07-01,,3.58821941000359
2030-08-01,,3.641107568510756
2030-09-01,,3.5216917464113595
2030-10-01,,3.5457859923922563
2030-11-01,,3.470209022869858
2030-12-01,,3.4628315882693834
2031-01-01,,3.627725548059947
2031-02-01,,3.672358265875693
2031-03-01,,3.55511526358179
2031-04-01,,3.6434050443921357
2031-05-01,,3.590712652567511
2031-06-01,,3.5080695174201164
2031-07-01,,3.5906929168730426
2031-08-01,,3.687281682412501
2031-09-01,,3.5580855629117982
2031-10-01,,3.689465820140151
2031-11-01,,3.345975360206323
2031-12-01,,3.628495266408581
