Price,Close,High,Low,Open,Volume
Ticker,USDPEN=X,USDPEN=X,USDPEN=X,USDPEN=X,USDPEN=X
Date,,,,,
2022-01-01,3.764059066772461,3.986999988555908,3.6449999809265137,3.910352945327759,0
2022-02-01,3.6965739727020264,3.88100004196167,3.6490120887756348,3.7578721046447754,0
2022-03-01,3.7074999809265137,3.7874999046325684,3.626039981842041,3.7138450145721436,0
2022-04-01,3.825000047683716,3.8350000381469727,3.5570828914642334,3.7219998836517334,0
2022-05-01,3.5972819328308105,3.8350000381469727,3.5752758979797363,3.825000047683716,0
2022-06-01,3.7121899127960205,3.7780001163482666,3.5914759635925293,3.7074999809265137,0
2022-07-01,3.9200000762939453,3.930999994277954,3.6844420433044434,3.708827018737793,0
2022-08-01,3.812000036239624,3.930999994277954,3.7327589988708496,3.930999994277954,0
2022-09-01,3.9700000286102295,3.9730000495910645,3.7191669940948486,3.828000068664551,0
2022-10-01,3.987499952316284,3.994499921798706,3.8207828998565674,3.9700000286102295,0
2022-11-01,3.8399999141693115,3.984999895095825,3.7312281131744385,3.9670000076293945,0
2022-12-01,3.7850000858306885,3.8399999141693115,3.712904930114746,3.8299999237060547,0
2023-01-01,3.8380000591278076,3.869999885559082,3.6697139739990234,3.7850000858306885,0
2023-02-01,3.799999952316284,3.8450000286102295,3.726512908935547,3.8350000381469727,0
2023-03-01,3.752500057220459,3.8010001182556152,3.662353038787842,3.7899999618530273,0
2023-04-01,3.7019999027252197,3.7829999923706055,3.6032519340515137,3.752500057220459,0
2023-05-01,3.6700000762939453,3.7049999237060547,3.575026035308838,3.6032519340515137,0
2023-06-01,3.61899995803833,3.681999921798706,3.5338120460510254,3.6670000553131104,0
2023-07-01,3.5126171112060547,3.6384999752044678,3.4851560592651367,3.61899995803833,0
2023-08-01,3.617511034011841,3.7279999256134033,3.527458906173706,3.5999999046325684,0
2023-09-01,3.7850000858306885,3.7899999618530273,3.606334924697876,3.624330997467041,0
2023-10-01,3.818000078201294,3.869999885559082,3.71158504486084,3.722382068634033,0
2023-11-01,3.7130000591278076,3.813499927520752,3.6341910362243652,3.818000078201294,0
2023-12-01,3.627424955368042,3.7899999618530273,3.599565029144287,3.6566851139068604,0
2024-01-01,3.811500072479248,3.811500072479248,3.61678409576416,3.627424955368042,0
2024-02-01,3.7072579860687256,3.884000062942505,3.7014899253845215,3.8010001182556152,0
2024-03-01,3.6399569511413574,3.794600009918213,3.59670090675354,3.794600009918213,0
2024-04-01,3.752000093460083,3.756999969482422,3.5981879234313965,3.6399569511413574,0
2024-05-01,3.746999979019165,3.759500026702881,3.61319899559021,3.752000093460083,0
2024-06-01,3.822499990463257,3.822499990463257,3.6263840198516846,3.747999906539917,0
2024-07-01,3.7320001125335693,3.7737538814544678,3.63981294631958,3.756424903869629,0
2024-08-01,3.746999979019165,3.7571001052856445,3.6356730461120605,3.7320001125335693,0
2024-09-01,3.7279999256134033,3.812999963760376,3.6428449153900146,3.746999979019165,0
2024-10-01,3.7709999084472656,3.7709999084472656,3.6317999362945557,3.7160000801086426,0
2024-11-01,3.7320001125335693,3.803999900817871,3.662839889526367,3.7709999084472656,0
2024-12-01,3.6690499782562256,3.755000114440918,3.630199909210205,3.662839889526367,0
2025-01-01,3.7105000019073486,3.7799999713897705,3.6306700706481934,3.6791470050811768,0
2025-02-01,3.6740000247955322,3.7320001125335693,3.5849380493164062,3.7105000019073486,0
2025-03-01,3.528265953063965,3.7200000286102295,3.528265953063965,3.6740000247955322,0
2025-04-01,3.6659998893737793,3.688498020172119,3.5672929286956787,3.6710000038146973,0
2025-05-01,3.5715620517730713,3.640000104904175,3.549715042114258,3.6570000648498535,0
2025-06-01,3.478610038757324,3.632999897003174,3.478610038757324,3.5715620517730713,0
2025-07-01,3.568000078201294,3.6429998874664307,3.462799072265625,3.5409998893737793,0
2025-08-01,3.4650700092315674,3.693000078201294,3.404409885406494,3.568000078201294,0
